City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,13.74,55,100,1.79,AU,1723101330
1,mogok,22.9167,96.5,21.24,90,75,2.57,MM,1723101331
2,cockburn town,21.4612,-71.1419,27.67,87,79,8.37,TC,1723101332
3,touros,-5.1989,-35.4608,22.56,84,7,4.91,BR,1723100737
4,rosarito,32.3333,-117.0333,20.53,84,17,1.25,MX,1723101255
5,slave lake,55.2834,-114.769,12.99,88,0,2.57,CA,1723101336
6,uray,60.1247,64.7758,15.5,50,100,3.26,RU,1723101337
7,bilibino,68.0546,166.4372,12.91,43,100,5.93,RU,1723101338
8,invercargill,-46.4,168.35,7.23,91,60,0.45,NZ,1723101339
9,sumberpucung,-8.1586,112.4829,29.79,54,77,4.61,ID,1723101340
10,tiksi,71.6872,128.8694,7.67,93,100,1.92,RU,1723101342
11,stanley,54.868,-1.6985,15.44,81,0,2.06,GB,1723101343
12,hawaiian paradise park,19.5933,-154.9731,24.29,87,51,0.45,US,1723101344
13,weno,7.4515,151.8468,31.97,70,40,3.09,FM,1723101345
14,chibougamau,49.9168,-74.3659,9.92,87,100,1.23,CA,1723101059
15,east london,-33.0153,27.9116,18.52,39,0,1.03,ZA,1723101347
16,ust-nera,64.5667,143.2,14.03,77,90,1.38,RU,1723101349
17,wailua homesteads,22.0669,-159.378,24.44,86,20,5.14,US,1723101350
18,makokou,0.5738,12.8642,22.41,76,53,2.45,GA,1723101351
19,delmas,18.5447,-72.3028,25.68,84,100,1.03,HT,1723101352
20,adamstown,-25.066,-130.1015,19.84,70,100,5.85,PN,1723101353
21,grytviken,-54.2811,-36.5092,-10.51,67,25,2.72,GS,1723101354
22,port-aux-francais,-49.35,70.2167,0.09,90,100,10.39,TF,1723101357
23,punta arenas,-53.15,-70.9167,2.06,80,100,3.6,CL,1723101113
24,cabo san lucas,22.8909,-109.9124,28.75,70,100,3.13,MX,1723101166
25,laojunmiao,39.8333,97.7333,13.99,82,100,5.77,CN,1723101360
26,talovskiy,51.1144,40.73,24.37,50,97,4.53,RU,1723101361
27,poronaysk,49.2167,143.1167,16.31,98,100,2.01,RU,1723101362
